datetime,close,high,low,open,volume
2021/1/1 0:00,730.3675537,749.2018433,719.7922363,737.708374,13652004358
2021/1/2 0:00,774.5349731,786.7984619,718.1094971,730.4026489,19740771179
2021/1/3 0:00,975.5076904,1006.565002,771.5616455,774.5118408,45200463368
2021/1/4 0:00,1040.233032,1153.189209,912.3053589,977.0588379,56945985763
2021/1/5 0:00,1100.006104,1129.37146,986.8112793,1041.498779,41535932781
2021/1/6 0:00,1207.112183,1209.428589,1064.233398,1101.005005,44699914188
2021/1/7 0:00,1225.678101,1282.57959,1167.443115,1208.078369,40468027280
2021/1/8 0:00,1224.197144,1273.827515,1076.081543,1225.967896,44334826666
2021/1/9 0:00,1281.077271,1303.871826,1182.270386,1223.740479,33233105361
2021/1/10 0:00,1262.246704,1347.926147,1194.715576,1280.871094,40616938053
2021/1/11 0:00,1090.145386,1261.622925,924.9226074,1261.622925,60733630300
2021/1/12 0:00,1043.43457,1149.240234,1012.76416,1088.526733,37494601692
2021/1/13 0:00,1130.73938,1134.338501,994.5490723,1043.740967,30109792795
2021/1/14 0:00,1218.453003,1244.163086,1093.060791,1130.231201,33410915929
2021/1/15 0:00,1171.834595,1250.505859,1090.721069,1221.877197,35972039310
2021/1/16 0:00,1233.537598,1290.053589,1157.623779,1171.443115,32319240157
2021/1/17 0:00,1230.172241,1265.644653,1174.38855,1233.453369,29258032819
2021/1/18 0:00,1257.279541,1259.450073,1187.311035,1230.313232,25817455560
2021/1/19 0:00,1377.295898,1432.300049,1254.522949,1257.43457,47195935190
2021/1/20 0:00,1382.274048,1405.744141,1243.299927,1375.248413,46784030909
2021/1/21 0:00,1121.570923,1382.684448,1098.476196,1382.684448,45932464754
2021/1/22 0:00,1236.512207,1271.687622,1046.596558,1118.889038,43918338506
2021/1/23 0:00,1230.990601,1272.151123,1200.893311,1235.267944,27253895441
2021/1/24 0:00,1391.609375,1395.111328,1225.274048,1231.210571,36418163554
2021/1/25 0:00,1324.414795,1467.784912,1304.973999,1390.639893,43565777745
2021/1/26 0:00,1357.058105,1376.085083,1253.340332,1323.741699,41572917750
2021/1/27 0:00,1253.187134,1368.074097,1215.311279,1358.333374,39394416990
2021/1/28 0:00,1332.492188,1356.288696,1226.17395,1251.279785,34637234789
2021/1/29 0:00,1382.522827,1428.981201,1292.240112,1369.086792,53611955259
2021/1/30 0:00,1376.115479,1402.39978,1328.529053,1382.231934,30616574234
2021/1/31 0:00,1314.986206,1378.916016,1288.501587,1376.823608,25198853581
2021/2/1 0:00,1369.040527,1373.845825,1274.357788,1314.855225,29210670920
2021/2/2 0:00,1515.193726,1542.990967,1362.77124,1369.505127,45437142801
2021/2/3 0:00,1660.909546,1660.909546,1510.010254,1514.769653,41874566399
2021/2/4 0:00,1594.762695,1689.186646,1561.853516,1661.170166,44396871836
2021/2/5 0:00,1718.650879,1756.510986,1594.793335,1594.793335,40108628454
2021/2/6 0:00,1677.846802,1738.314453,1649.068726,1717.797485,39873420648
2021/2/7 0:00,1614.227783,1690.036621,1501.750244,1677.605713,39889440151
2021/2/8 0:00,1746.616821,1770.59082,1571.579956,1613.642212,48012285956
2021/2/9 0:00,1768.035034,1815.963623,1711.620605,1746.926147,44180727529
2021/2/10 0:00,1744.243408,1826.696777,1686.542358,1768.039795,41916084617
2021/2/11 0:00,1783.797974,1806.539063,1708.679199,1743.714233,36021495262
2021/2/12 0:00,1843.532593,1861.356934,1744.168945,1783.489136,37905036865
2021/2/13 0:00,1814.109863,1871.603516,1770.612061,1843.986816,35359490535
2021/2/14 0:00,1805.084106,1848.154053,1789.914185,1814.372314,31439114900
2021/2/15 0:00,1779.791016,1833.830566,1683.906616,1804.676758,38955610883
2021/2/16 0:00,1781.067505,1824.518677,1729.641968,1778.945557,34269369268
2021/2/17 0:00,1848.458252,1853.667603,1736.705811,1781.350098,35955412703
2021/2/18 0:00,1937.449219,1949.903442,1848.206299,1848.206299,28255902969
2021/2/19 0:00,1960.164795,1969.546997,1896.684448,1938.859863,26268814253
2021/2/20 0:00,1919.534058,2036.286499,1830.531494,1959.902954,34696091102
2021/2/21 0:00,1935.601074,1974.259644,1890.368164,1918.673096,23626547717
2021/2/22 0:00,1781.99292,1936.453735,1580.626587,1935.557861,42409646036
2021/2/23 0:00,1570.203979,1781.409058,1378.840942,1781.409058,52029864713
2021/2/24 0:00,1626.575684,1710.983765,1511.018921,1571.47644,31329000537
2021/2/25 0:00,1475.703735,1670.224121,1465.05896,1625.393921,24481681873
2021/2/26 0:00,1446.033691,1559.028931,1407.979248,1478.65332,31435997881
2021/2/27 0:00,1459.973145,1524.932373,1433.786987,1446.929443,20742103233
2021/2/28 0:00,1416.04895,1468.391479,1300.472168,1459.860474,27637026080
2021/3/1 0:00,1564.707642,1567.69458,1416.416138,1417.151123,24032838645
2021/3/2 0:00,1492.608765,1597.610107,1461.325439,1564.063477,22523669722
2021/3/3 0:00,1575.853149,1650.360596,1481.905762,1491.451172,22674780680
2021/3/4 0:00,1541.914307,1622.953857,1511.103394,1574.623779,22906118718
2021/3/5 0:00,1533.275024,1547.878174,1450.891357,1541.541748,21067146937
2021/3/6 0:00,1654.741577,1669.106567,1519.141113,1532.372803,22746262366
2021/3/7 0:00,1723.153809,1730.924194,1636.564453,1655.392456,23809935410
2021/3/8 0:00,1834.727905,1835.192139,1670.942017,1724.229248,27630991158
2021/3/9 0:00,1868.048828,1868.048828,1804.266357,1835.148071,23461244507
2021/3/10 0:00,1799.16626,1873.803223,1766.490479,1868.489014,25154173185
2021/3/11 0:00,1826.194946,1843.818848,1734.617065,1798.033936,24013132909
2021/3/12 0:00,1772.102417,1839.497314,1728.980957,1826.546753,22435821312
2021/3/13 0:00,1924.685425,1937.645508,1733.639893,1772.166382,25014689475
2021/3/14 0:00,1854.564331,1930.779785,1845.119995,1923.86377,19344589211
2021/3/15 0:00,1791.702271,1889.196655,1749.606323,1854.08667,26244738810
2021/3/16 0:00,1806.971802,1817.060181,1720.053223,1792.413818,23828509590
2021/3/17 0:00,1823.449341,1839.81897,1749.179932,1807.056152,24512917348
2021/3/18 0:00,1782.855103,1848.646118,1705.716064,1823.158447,23263845504
2021/3/19 0:00,1817.624146,1841.196045,1746.473389,1782.568726,21249297710
2021/3/20 0:00,1812.634644,1874.708984,1811.728638,1817.522705,22677674970
2021/3/21 0:00,1788.217041,1823.353027,1764.139282,1812.606567,22977404620
2021/3/22 0:00,1691.333984,1811.968262,1674.299805,1788.362183,23599296129
2021/3/23 0:00,1678.650146,1725.108765,1662.539917,1690.871826,21998237965
2021/3/24 0:00,1593.413452,1740.428223,1570.787964,1678.002563,31228051473
2021/3/25 0:00,1595.359253,1625.911499,1560.370483,1593.123291,29650328701
2021/3/26 0:00,1702.842041,1702.922852,1594.736694,1595.210083,22548516548
2021/3/27 0:00,1716.494629,1732.824341,1674.319336,1703.036133,18102277710
2021/3/28 0:00,1691.355957,1728.584106,1672.6604,1716.40564,16599472938
2021/3/29 0:00,1819.684937,1837.187988,1683.716553,1691.263184,22796570548
2021/3/30 0:00,1846.033691,1860.974731,1793.922363,1819.466309,22512781703
2021/3/31 0:00,1918.362061,1947.837769,1793.002197,1846.098267,30226902621
2021/4/1 0:00,1977.276855,1989.055054,1912.178467,1919.157227,30914259795
2021/4/2 0:00,2143.225586,2152.451904,1960.678711,1976.932739,34862511022
2021/4/3 0:00,2028.422485,2144.962402,2028.422485,2142.895996,32011518871
2021/4/4 0:00,2093.122803,2110.353516,2007.111816,2027.671265,26006501902
