date,datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl,gain,loss,avg_gain,avg_loss,rs,rsi
2021-12-20 11:00:00,2021-12-20 11:00:00,46681.24,47537.57,45558.85,46914.16,35848.50609,0,,,,,2.894398514584937,0.0,-1,-1,-1,0.0,89.0,75.0,37.7819991218285,36.94730478532014,0.0,0.0,-0.0,,,100.0,99.00990099009901
2021-12-21 11:00:00,2021-12-21 11:00:00,46914.17,49328.96,46630.0,48889.88,37713.92924,0,,,,45456.0,2.8745595183558152,0.0,-1,-1,-1,0.0,87.0,35.5,44.49395023949349,36.94730478532014,0.0,1975.719999999994,-0.0,,,100.0,99.00990099009901
2021-12-22 11:00:00,2021-12-22 11:00:00,48887.59,49576.13,48421.87,48588.16,27004.2022,0,,,,,2.864813882191114,0.0,-1,-1,-1,0.0,87.0,27.5,43.71831148825815,37.7819991218285,0.0,0.0,301.7199999999939,,,100.0,99.00990099009901
2021-12-23 11:00:00,2021-12-23 11:00:00,48588.17,51375.0,47920.42,50838.81,35192.54046,0,,,,,2.850035952296374,0.0,-1,-1,-1,0.0,86.5,16.5,50.63175989971442,43.71831148825815,0.0,2250.649999999994,-0.0,,,100.0,99.00990099009901
2021-12-24 11:00:00,2021-12-24 11:00:00,50838.82,51810.0,50384.43,50820.0,31684.81208,0,,,,,2.8692104473984585,0.0,-1,-1,-1,0.0,87.0,16.5,50.57584387834861,43.71831148825815,0.0,0.0,18.80999999999767,,,100.0,99.00990099009901
2021-12-25 11:00:00,2021-12-25 11:00:00,50819.99,51156.23,50142.32,50399.66,19135.51613,0,,45456.0,,,2.838058135629875,0.0,-1,-1,-1,0.0,86.5,21.0,49.266476990559084,49.266476990559084,0.0,0.0,420.3399999999965,,,100.0,99.00990099009901
2021-12-26 11:00:00,2021-12-26 11:00:00,50399.67,51280.0,49412.0,50775.49,22569.88914,0,,,,,2.83963088505942,0.0,-1,-1,-1,0.0,79.0,33.5,50.500420098656136,49.266476990559084,0.0,375.82999999999447,-0.0,,,100.0,99.00990099009901
2021-12-27 11:00:00,2021-12-27 11:00:00,50775.48,52088.0,50449.0,50701.44,28779.58212,0,,,,,2.7833362733484743,0.0,-1,-1,-1,0.0,80.0,32.0,50.24113482102022,49.266476990559084,0.0,0.0,74.04999999999563,,,100.0,99.00990099009901
2021-12-28 11:00:00,2021-12-28 11:00:00,50701.44,50704.05,47313.01,47543.74,45853.33924,0,,,,,2.774539291618628,0.0,-1,-1,-1,0.0,79.5,84.5,40.65528957495646,40.65528957495646,0.0,0.0,3157.7000000000044,,,100.0,99.00990099009901
2021-12-29 11:00:00,2021-12-29 11:00:00,47543.74,48139.08,46096.99,46464.66,39498.87,0,,,,,2.7967326418499603,0.0,-1,-1,-1,0.0,85.0,91.0,37.98791567214961,37.98791567214961,0.0,0.0,1079.0799999999945,,,100.0,99.00990099009901
2021-12-30 11:00:00,2021-12-30 11:00:00,46464.66,47900.0,45900.0,47120.87,30352.29569,0,,,,,2.784162159870616,0.0,-1,-1,-1,0.0,88.0,85.5,40.54265298209691,37.98791567214961,0.0,656.2099999999991,-0.0,,,100.0,99.00990099009901
2021-12-31 11:00:00,2021-12-31 11:00:00,47120.88,48548.26,45678.0,46216.93,34936.46964,0,,,,,2.742350970975445,0.0,-1,-1,-1,0.0,87.5,92.0,38.20757778272151,37.98791567214961,0.0,0.0,903.9400000000023,,,100.0,99.00990099009901
2022-01-01 11:00:00,2022-01-01 11:00:00,46216.93,47954.63,46208.37,47722.65,19604.46325,0,,,52088.0,,2.732776898206944,0.0,-1,-1,-1,0.0,78.5,81.5,43.99402948189448,38.20757778272151,0.0,1505.7200000000012,-0.0,,,100.0,99.00990099009901
2022-01-02 11:00:00,2022-01-02 11:00:00,47722.66,47990.0,46654.0,47286.18,18340.4604,0,,,,,2.744472768566603,0.0,-1,-1,-1,0.0,84.5,53.5,42.744484039367634,38.20757778272151,0.0,0.0,436.47000000000116,483.15214285714165,456.5792857142847,1.0581998745328223,51.41385380625467
